net,length_um
pulse_timing_register\[17\],18.58µm
_0138_,18.53µm
_0445_,18.53µm
_0512_,18.53µm
pulse_timing_register\[12\],18.53µm
pulse_timing_register\[8\],18.53µm
range_timing_internal\[8\],18.53µm
DAT_I[7],18.505µm
_0598_,18.48µm
_0609_,18.48µm
net51,18.48µm
net99,18.48µm
range_timing_internal\[6\],18.12µm
_0039_,17.97µm
range_timing_register\[15\],17.97µm
DAT_O[3],17.945µm
net22,17.92µm
_0004_,17.92µm
_0180_,17.92µm
_0227_,17.92µm
_0379_,17.46µm
_0085_,17.41µm
_0091_,17.41µm
_0624_,17.41µm
_0297_,17.36µm
_0380_,17.36µm
_0514_,17.36µm
_0169_,16.9µm
_0410_,16.9µm
_0358_,16.85µm
_0364_,16.85µm
_0450_,16.85µm
pulse_timing_register\[11\],16.85µm
range_timing_register\[17\],16.85µm
DAT_O[2],16.825µm
_0100_,16.8µm
_0175_,16.8µm
_0308_,16.8µm
_0377_,16.8µm
_0421_,16.8µm
_0468_,16.8µm
_0052_,16.29µm
_0287_,16.29µm
_0299_,16.29µm
_0374_,16.29µm
_0530_,16.29µm
_0571_,16.29µm
net65,16.29µm
net66,16.29µm
ADDR_I[2],16.265µm
_0289_,16.24µm
_0496_,16.24µm
_0506_,16.24µm
range_timing_internal\[7\],16.24µm
_0243_,15.93µm
_0022_,15.73µm
_0145_,15.73µm
_0281_,15.73µm
DAT_I[2],15.705µm
_0174_,15.68µm
_0194_,15.68µm
_0226_,15.68µm
_0405_,15.68µm
_0447_,15.68µm
_0505_,15.68µm
_0633_,15.68µm
_0492_,15.27µm
ADDR_I[1],15.195µm
net4,15.17µm
_0251_,15.17µm
_0474_,15.17µm
_0107_,15.12µm
_0552_,15.12µm
_0359_,14.71µm
_0097_,14.66µm
_0067_,14.61µm
_0268_,14.61µm
_0310_,14.61µm
pulse_timing_internal\[7\],14.61µm
range_timing_register\[14\],14.61µm
_0020_,14.56µm
_0455_,14.56µm
_0533_,14.56µm
_0577_,14.56µm
_0639_,14.56µm
_0023_,14.05µm
_0184_,14.05µm
_0199_,14.05µm
_0312_,14.05µm
ADDR_I[7],14.025µm
DAT_I[3],14.025µm
DAT_I[6],14.025µm
_0066_,14µm
_0262_,14µm
_0346_,14µm
_0433_,14µm
_0446_,14µm
_0481_,14µm
_0638_,14µm
_0371_,13.54µm
_0385_,13.54µm
pulse_timing_internal\[13\],13.54µm
pulse_timing_register\[14\],13.54µm
_0062_,13.49µm
_0106_,13.49µm
_0186_,13.49µm
_0360_,13.49µm
_0444_,13.49µm
net55,13.49µm
net56,13.49µm
DAT_I[4],13.465µm
_0109_,13.44µm
_0151_,13.44µm
_0254_,13.44µm
_0615_,13.44µm
_0620_,13.44µm
_0634_,13.44µm
_0034_,12.98µm
_0266_,12.93µm
_0325_,12.93µm
_0344_,12.93µm
_0387_,12.93µm
_0497_,12.93µm
pulse_timing_internal\[6\],12.93µm
ADDR_I[4],12.905µm
net24,12.88µm
_0115_,12.88µm
_0237_,12.88µm
_0283_,12.88µm
_0327_,12.88µm
_0343_,12.88µm
_0442_,12.88µm
_0523_,12.88µm
range_timing_internal\[19\],12.88µm
net101,12.88µm
bypass_pin_control[0],12.74µm
net6,12.42µm
_0065_,12.37µm
_0103_,12.37µm
_0156_,12.37µm
_0279_,12.37µm
_0296_,12.37µm
_0471_,12.37µm
_0477_,12.37µm
_0509_,12.37µm
net68,12.37µm
net75,12.37µm
DAT_I[5],12.345µm
_0133_,12.32µm
_0187_,12.32µm
_0245_,12.32µm
_0381_,12.32µm
_0484_,12.32µm
_0604_,12.32µm
net73,12.32µm
_0167_,11.96µm
_0032_,11.81µm
_0041_,11.81µm
_0116_,11.81µm
