Metric,Value
timing__hold__tns__corner:max_ss_125C_4v50,0
timing__setup__tns__corner:max_ss_125C_4v50,0
timing__hold__wns__corner:max_ss_125C_4v50,0
timing__setup__wns__corner:max_ss_125C_4v50,0
timing__hold_vio__count__corner:max_ss_125C_4v50,0
timing__hold_r2r__ws__corner:max_ss_125C_4v50,1.278325
timing__hold_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__setup_vio__count__corner:max_ss_125C_4v50,0
timing__setup_r2r__ws__corner:max_ss_125C_4v50,94.805939
timing__setup_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__unannotated_net__count__corner:max_ss_125C_4v50,15
timing__unannotated_net_filtered__count__corner:max_ss_125C_4v50,0
design__max_slew_violation__count__corner:max_ff_n40C_5v50,0
design__max_fanout_violation__count__corner:max_ff_n40C_5v50,1
design__max_cap_violation__count__corner:max_ff_n40C_5v50,1
clock__skew__worst_hold__corner:max_ff_n40C_5v50,-0.26098743349625114
clock__skew__worst_setup__corner:max_ff_n40C_5v50,0.2613577483965881
timing__hold__ws__corner:max_ff_n40C_5v50,0.2443818550028705
timing__setup__ws__corner:max_ff_n40C_5v50,75.66186114018353
timing__hold__tns__corner:max_ff_n40C_5v50,0
timing__setup__tns__corner:max_ff_n40C_5v50,0
timing__hold__wns__corner:max_ff_n40C_5v50,0
timing__setup__wns__corner:max_ff_n40C_5v50,0
timing__hold_vio__count__corner:max_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:max_ff_n40C_5v50,0.244382
timing__hold_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:max_ff_n40C_5v50,98.223503
timing__setup_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count__corner:max_ff_n40C_5v50,15
timing__unannotated_net_filtered__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count,15
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:nom_tt_025C_5v00,4.99967
design_powergrid__drop__average__net:VDD__corner:nom_tt_025C_5v00,4.9999
design_powergrid__drop__worst__net:VDD__corner:nom_tt_025C_5v00,0.000331985
design_powergrid__voltage__worst__net:VSS__corner:nom_tt_025C_5v00,0.000289011
design_powergrid__drop__average__net:VSS__corner:nom_tt_025C_5v00,0.0000916903
design_powergrid__drop__worst__net:VSS__corner:nom_tt_025C_5v00,0.000289011
design_powergrid__voltage__worst,0.000289011
design_powergrid__voltage__worst__net:VDD,4.99967
design_powergrid__drop__worst,0.000331985
design_powergrid__drop__worst__net:VDD,0.000331985
design_powergrid__voltage__worst__net:VSS,0.000289011
design_powergrid__drop__worst__net:VSS,0.000289011
ir__voltage__worst,5
ir__drop__avg,0.0000963
ir__drop__worst,0.000332
design__xor_difference__count,0
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
